brand,model,year,mileage,engine_size,price
BMW,CE 04,2023,2.0,4.0,14550.0
BMW,R 1250 GS Adventure,2023,0.0,1250.0,25330.0
BMW,F 900 R,2023,2.0,900.0,11120.0
BMW,R 1250 GS,2023,6.0,1250.0,24170.0
BMW,K 1600 GTL,2023,2.0,1600.0,31630.0
BMW,F 750 GS,2023,6.0,750.0,13205.0
BMW,R 1250 GS Adventure,2023,6.0,1250.0,26225.0
BMW,R 1250 R,2023,2.0,1250.0,18190.0
BMW,R 1250 GS Adventure,2023,6.0,1250.0,26375.0
BMW,R 1250 GS,2023,2.0,1250.0,24255.0
BMW,CE 04,2023,1.0,4.0,13690.0
BMW,G 310 GS,2023,2.0,310.0,6485.0
BMW,C 400 GT,2023,2.0,400.0,9390.0
BMW,K 1600 B,2023,2.0,1600.0,28455.0
BMW,F 850 GS 850 GS ADVENTURE,2023,2.0,850.0,16425.0
BMW,G 310 GS,2023,5.0,310.0,6290.0
BMW,R 1250 GS Adventure GS Trophy,2023,10.0,1250.0,25295.0
BMW,K 1600 B,2023,2.0,1600.0,26655.0
BMW,CE 04,2023,2.0,4.0,14770.0
BMW,R 1250 GS Adventure,2023,2.0,1250.0,26625.0
BMW,G 310 GS,2023,2.0,310.0,6485.0
BMW,S 1000 XR,2023,2.0,1000.0,20835.0
BMW,G 310 R,2023,5.0,310.0,5785.0
BMW,C 400 GT,2023,5.0,400.0,9535.0
BMW,R 1250 GS Adventure GS Trophy,2023,0.0,1250.0,22780.0
BMW,R 1250 GS Adventure,2023,2.0,1250.0,26625.0
BMW,R 1250 RS,2023,6.0,1250.0,19765.0
BMW,R 1250 GS,2023,2.0,1250.0,24170.0
BMW,F 900 XR,2023,2.0,900.0,15720.0
BMW,F 850 GS Adventure,2023,2.0,850.0,17510.0
BMW,F 750 GS,2023,5.0,750.0,13450.0
BMW,R 1250 GS,2023,6.0,1250.0,24170.0
BMW,S 1000 XR,2023,2.0,1000.0,18250.0
BMW,G 310 R,2023,2.0,310.0,5785.0
BMW,R 1250 GS Adventure,2023,2.0,1250.0,26475.0
BMW,F 850 GS Adventure,2023,2.0,850.0,17160.0
BMW,S 1000 XR,2023,2.0,1000.0,23450.0
BMW,R 18 Transcontinental,2023,203.0,18.0,20495.0
BMW,G 310 GS,2023,2.0,310.0,6485.0
BMW,R 1250 GS,2023,2.0,1250.0,24170.0
BMW,C 400 GT,2023,1.0,400.0,9390.0
BMW,F 850 GS Adventure,2023,2.0,850.0,17695.0
BMW,CE 04,2023,2.0,4.0,14550.0
BMW,F 900 R,2023,2.0,900.0,11361.0
BMW,G 310 R,2023,0.0,310.0,5785.0
BMW,R 1250 R Black Storm Metallic,2022,5.0,1250.0,16698.0
BMW,R 18 CLASSIC,2022,0.0,18.0,20785.0
BMW,R 1250 R,2020,1648.0,1250.0,14995.0
BMW,K 1600 GRAND AMERICA,2020,4183.0,1600.0,23995.0
BMW,K 1600 GTL Exclusive,2023,10.0,1600.0,30275.0
BMW,G 310 GS Rally,2023,0.0,310.0,6485.0
BMW,R 1250 R,2023,0.0,1250.0,17710.0
